R,G,B,Name
255,250,250,snow
248,248,255,Ghost White
245,245,245,White Smoke
220,220,220,gainsboro
255,250,240,Floral White
253,245,230,Old Lace
250,240,230,linen
250,235,215,Antique White
255,239,213,Papaya Whip
255,235,205,Blanched Almond
255,228,196,bisque
255,218,185,Peach Puff
255,222,173,Navajo White
255,228,181,moccasin
255,248,220,cornsilk
255,255,240,ivory
255,250,205,Lemon Chiffon
255,245,238,seashell
240,255,240,honeydew
245,255,250,Mint Cream
240,255,255,azure
240,248,255,Alice Blue
230,230,250,lavender
255,240,245,Lavender Blush
255,228,225,Misty Rose
255,255,255,white
0,0,0,black
47,79,79,Dark Slate Grey
105,105,105,Dim Gray
105,105,105,Dim Grey
112,128,144,Slate Grey
119,136,153,Light Slate Grey
190,190,190,gray
190,190,190,grey
128,128,128,Web Gray
128,128,128,Web Grey
211,211,211,Light Grey
211,211,211,Light Gray
25,25,112,Midnight Blue
0,0,128,navy
0,0,128,Navy Blue
100,149,237,Cornflower Blue
72,61,139,Dark Slate Blue
106,90,205,SlateBlue
123,104,238,Medium Slate Blue
132,112,255,Light Slate Blue
0,0,205,Medium Blue
65,105,225,Royal Blue
0,0,255,blue
30,144,255,DodgerBlue
0,191,255,DeepSkyBlue
135,206,235,SkyBlue
135,206,250,LightSkyBlue
70,130,180,SteelBlue
176,196,222,LightSteelBlue
173,216,230,LightBlue
176,224,230,PowderBlue
175,238,238,PaleTurquoise
0,206,209,DarkTurquoise
72,209,204,MediumTurquoise
64,224,208,turquoise
0,255,255,cyan
0,255,255,aqua
224,255,255,LightCyan
95,158,160,CadetBlue
102,205,170,MediumAquamarine
127,255,212,aquamarine
0,100,0,DarkGreen
85,107,47,DarkOliveGreen
143,188,143,DarkSeaGreen
46,139,87,SeaGreen
60,179,113,MediumSeaGreen
32,178,170,LightSeaGreen
152,251,152,PaleGreen
0,255,127,SpringGreen
124,252,0,LawnGreen
0,255,0,green
0,255,0,lime
0,128,0,WebGreen
127,255,0,chartreuse
0,250,154,MediumSpringGreen
173,255,47,GreenYellow
50,205,50,LimeGreen
154,205,50,YellowGreen
34,139,34,ForestGreen
107,142,35,OliveDrab
189,183,107,DarkKhaki
240,230,140,khaki
238,232,170,PaleGoldenrod
250,250,210,LightGoldenrodYellow
255,255,224,LightYellow
255,255,0,yellow
255,215,0,gold
238,221,130,LightGoldenrod
218,165,32,goldenrod
184,134,11,DarkGoldenrod
188,143,143,RosyBrown
205,92,92,IndianRed
139,69,19,SaddleBrown
160,82,45,sienna
205,133,63,peru
222,184,135,burlywood
245,245,220,beige
245,222,179,wheat
244,164,96,SandyBrown
210,180,140,tan
210,105,30,chocolate
178,34,34,firebrick
165,42,42,brown
233,150,122,DarkSalmon
250,128,114,salmon
255,160,122,LightSalmon
255,165,0,orange
255,140,0,DarkOrange
255,127,80,coral
240,128,128,LightCoral
255,99,71,tomato
255,69,0,OrangeRed
255,0,0,red
255,105,180,HotPink
255,20,147,DeepPink
255,192,203,pink
255,182,193,LightPink
219,112,147,PaleVioletRed
176,48,96,maroon
176,48,96,X11Maroon
128,0,0,WebMaroon
199,21,133,MediumVioletRed
208,32,144,VioletRed
255,0,255,magenta
255,0,255,fuchsia
238,130,238,violet
221,160,221,plum
218,112,214,orchid
186,85,211,MediumOrchid
153,50,204,DarkOrchid
148,0,211,DarkViolet
138,43,226,BlueViolet
160,32,240,purple
160,32,240,X11Purple
128,0,128,WebPurple
147,112,219,MediumPurple
216,191,216,thistle
255,250,250,snow
238,233,233,snow
205,201,201,snow
139,137,137,snow
255,245,238,seashell
238,229,222,seashell
205,197,191,seashell
139,134,130,seashell
255,239,219,AntiqueWhite
238,223,204,AntiqueWhite
205,192,176,AntiqueWhite
139,131,120,AntiqueWhite
255,228,196,bisque
238,213,183,bisque
205,183,158,bisque
139,125,107,bisque
255,218,185,PeachPuff
238,203,173,PeachPuff
205,175,149,PeachPuff
139,119,101,PeachPuff
255,222,173,NavajoWhite
238,207,161,NavajoWhite
205,179,139,NavajoWhite
139,121,94,NavajoWhite
255,250,205,LemonChiffon
238,233,191,LemonChiffon
205,201,165,LemonChiffon
139,137,112,LemonChiffon
255,248,220,cornsilk
238,232,205,cornsilk
205,200,177,cornsilk
139,136,120,cornsilk
255,255,240,ivory
238,238,224,ivory
205,205,193,ivory
139,139,131,ivory
240,255,240,honeydew
224,238,224,honeydew
193,205,193,honeydew
131,139,131,honeydew
255,240,245,LavenderBlush
238,224,229,LavenderBlush
205,193,197,LavenderBlush
139,131,134,LavenderBlush
255,228,225,MistyRose
238,213,210,MistyRose
205,183,181,MistyRose
139,125,123,MistyRose
240,255,255,azure
224,238,238,azure
193,205,205,azure
131,139,139,azure
131,111,255,SlateBlue
122,103,238,SlateBlue
105,89,205,SlateBlue
71,60,139,SlateBlue
72,118,255,RoyalBlue
67,110,238,RoyalBlue
58,95,205,RoyalBlue
39,64,139,RoyalBlue
0,0,255,blue
0,0,238,blue
0,0,205,blue
0,0,139,blue
30,144,255,DodgerBlue
28,134,238,DodgerBlue
24,116,205,DodgerBlue
16,78,139,DodgerBlue
99,184,255,SteelBlue
92,172,238,SteelBlue
79,148,205,SteelBlue
54,100,139,SteelBlue
0,191,255,DeepSkyBlue
0,178,238,DeepSkyBlue
0,154,205,DeepSkyBlue
0,104,139,DeepSkyBlue
135,206,255,SkyBlue
126,192,238,SkyBlue
108,166,205,SkyBlue
74,112,139,SkyBlue
176,226,255,LightSkyBlue
164,211,238,LightSkyBlue
141,182,205,LightSkyBlue
96,123,139,LightSkyBlue
198,226,255,SlateGray
185,211,238,SlateGray
159,182,205,SlateGray
108,123,139,SlateGray
202,225,255,LightSteelBlue
188,210,238,LightSteelBlue
162,181,205,LightSteelBlue
110,123,139,LightSteelBlue
191,239,255,LightBlue
178,223,238,LightBlue
154,192,205,LightBlue
104,131,139,LightBlue
224,255,255,LightCyan
209,238,238,LightCyan
180,205,205,LightCyan
122,139,139,LightCyan
187,255,255,PaleTurquoise
174,238,238,PaleTurquoise
150,205,205,PaleTurquoise
102,139,139,PaleTurquoise
152,245,255,CadetBlue
142,229,238,CadetBlue
122,197,205,CadetBlue
83,134,139,CadetBlue
0,245,255,turquoise
0,229,238,turquoise
0,197,205,turquoise
0,134,139,turquoise
0,255,255,cyan
0,238,238,cyan
0,205,205,cyan
0,139,139,cyan
151,255,255,DarkSlateGray
141,238,238,DarkSlateGray
121,205,205,DarkSlateGray
82,139,139,DarkSlateGray
127,255,212,aquamarine
118,238,198,aquamarine
102,205,170,aquamarine
69,139,116,aquamarine
193,255,193,DarkSeaGreen
180,238,180,DarkSeaGreen
155,205,155,DarkSeaGreen
105,139,105,DarkSeaGreen
84,255,159,SeaGreen
78,238,148,SeaGreen
67,205,128,SeaGreen
46,139,87,SeaGreen
154,255,154,PaleGreen
144,238,144,PaleGreen
124,205,124,PaleGreen
84,139,84,PaleGreen
0,255,127,SpringGreen
0,238,118,SpringGreen
0,205,102,SpringGreen
0,139,69,SpringGreen
0,255,0,green
0,238,0,green
0,205,0,green
0,139,0,green
127,255,0,chartreuse
118,238,0,chartreuse
102,205,0,chartreuse
69,139,0,chartreuse
192,255,62,OliveDrab
179,238,58,OliveDrab
154,205,50,OliveDrab
105,139,34,OliveDrab
202,255,112,DarkOliveGreen
188,238,104,DarkOliveGreen
162,205,90,DarkOliveGreen
110,139,61,DarkOliveGreen
255,246,143,khaki
238,230,133,khaki
205,198,115,khaki
139,134,78,khaki
255,236,139,LightGoldenrod
238,220,130,LightGoldenrod
205,190,112,LightGoldenrod
139,129,76,LightGoldenrod
255,255,224,LightYellow
238,238,209,LightYellow
205,205,180,LightYellow
139,139,122,LightYellow
255,255,0,yellow
238,238,0,yellow
205,205,0,yellow
139,139,0,yellow
255,215,0,gold
238,201,0,gold
205,173,0,gold
139,117,0,gold
255,193,37,goldenrod
238,180,34,goldenrod
205,155,29,goldenrod
139,105,20,goldenrod
255,185,15,DarkGoldenrod
238,173,14,DarkGoldenrod
205,149,12,DarkGoldenrod
139,101,8,DarkGoldenrod
255,193,193,RosyBrown
238,180,180,RosyBrown
205,155,155,RosyBrown
139,105,105,RosyBrown
255,106,106,IndianRed
238,99,99,IndianRed
205,85,85,IndianRed
139,58,58,IndianRed
255,130,71,sienna
238,121,66,sienna
205,104,57,sienna
139,71,38,sienna
255,211,155,burlywood
238,197,145,burlywood
205,170,125,burlywood
139,115,85,burlywood
255,231,186,wheat
238,216,174,wheat
205,186,150,wheat
139,126,102,wheat
255,165,79,tan
238,154,73,tan
205,133,63,tan
139,90,43,tan
255,127,36,chocolate
238,118,33,chocolate
205,102,29,chocolate
139,69,19,chocolate
255,48,48,firebrick
238,44,44,firebrick
205,38,38,firebrick
139,26,26,firebrick
255,64,64,brown
238,59,59,brown
205,51,51,brown
139,35,35,brown
255,140,105,salmon
238,130,98,salmon
205,112,84,salmon
139,76,57,salmon
255,160,122,LightSalmon
238,149,114,LightSalmon
205,129,98,LightSalmon
139,87,66,LightSalmon
255,165,0,orange
238,154,0,orange
205,133,0,orange
139,90,0,orange
255,127,0,DarkOrange
238,118,0,DarkOrange
205,102,0,DarkOrange
139,69,0,DarkOrange
255,114,86,coral
238,106,80,coral
205,91,69,coral
139,62,47,coral
255,99,71,tomato
238,92,66,tomato
205,79,57,tomato
139,54,38,tomato
255,69,0,OrangeRed
238,64,0,OrangeRed
205,55,0,OrangeRed
139,37,0,OrangeRed
255,0,0,red
238,0,0,red
205,0,0,red
139,0,0,red
255,20,147,DeepPink
238,18,137,DeepPink
205,16,118,DeepPink
139,10,80,DeepPink
255,110,180,HotPink
